Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
02_MQR_Reviewer_T05_Enter_Password_Continue/auth/realms/one-advanced-legal-uat/login-actions/authenticate?session_code=bThoghqiHOxHgb4cmsljXNfoj-8pYdspw_Yf7nhLaTA&execution=af5073fc-629a-45f9-8f68-20cfa46255ac&client_id=advancedsso&tab_id=9K3o0YJOcwc-310,4,553,523,715,715,715,409,715,0.000%,.00405,0.05,0.06
02_MQR_Reviewer_T05_Enter_Password_Continue,4,553,523,715,715,715,409,715,0.000%,.00403,0.05,0.06
02_MQR_Reviewer_T05_Homepage/legal-mqr-314,12,162,121,254,254,263,95,263,0.000%,.01119,0.05,0.05
02_MQR_Reviewer_T05_Homepage/api/product-service/v2/platform-ui-bootstrap-317,12,104,102,118,118,128,94,128,0.000%,.01120,0.01,0.05
02_MQR_Reviewer_T05_Homepage/userinfo-318,12,77,76,116,116,136,29,136,0.000%,.01120,0.01,0.05
02_MQR_Reviewer_T05_Homepage/api/1.0/client/auth-324,12,158,159,174,174,199,135,199,0.000%,.01118,0.00,0.01
02_MQR_Reviewer_T05_Homepage/api/1.0/client/auth-325,12,136,136,138,138,139,134,139,0.000%,.01118,0.01,0.01
02_MQR_Reviewer_T05_Homepage/api/mqr/v1/departments-340,12,292,142,645,645,1116,117,1116,0.000%,.01118,0.02,0.05
02_MQR_Reviewer_T05_Homepage/api/mqr/v1/compliance-dashboard-342,12,179,85,584,584,632,72,632,0.000%,.01119,0.17,0.05
02_MQR_FeeEarner_T05_Homepage/api/mqr/v1/compliance-executions-681,12,6004,5089,7316,7316,11311,4103,11311,0.000%,.01112,0.02,0.05
02_MQR_FeeEarner_T05_Homepage_ViewReviews/refreshauth-352,12,84,59,138,138,244,42,244,0.000%,.01120,0.05,0.05
02_MQR_Reviewer_T06_ViewReviews/api/mqr/v1/compliance-executions/523f2755-6429-4486-816a-08c67b80f5d5/tasks-345,4,5796,3786,11168,11168,11168,2880,11168,0.000%,.00405,0.01,0.02
02_MQR_Reviewer_T06_ViewReviews/refreshauth-352,4,61,51,101,101,101,43,101,0.000%,.00409,0.02,0.02
02_MQR_Reviewer_T06_ViewReviews,4,5858,3837,11211,11211,11211,2981,11211,0.000%,.00402,0.03,0.04
02_MQR_Reviewer_T07_ViewMatter/api/mqr/v1/compliance-checks/tasks/85c69a7f-d069-422d-b380-df3f75f8b225/status-355,8,517,282,922,1741,1741,159,1741,0.000%,.00813,0.02,0.04
02_MQR_Reviewer_T08_SaveMatter/api/mqr/v1/compliance-checks/tasks/85c69a7f-d069-422d-b380-df3f75f8b225-361,4,1776,1714,1881,1881,1881,1632,1881,0.000%,.00407,0.00,0.02
